Product ID,Product Description,Product Owner ID,Version,Product Owner Name,Expected Arrival Date / Time Entered,Anticipated Arrival Date & Time,Expected Arrival Client Purchase Order,Expected Arrival Shipped From,Expected Arrival Shipping Method,Expected Arrival Comments,Initial Expected Quantity,Total Expected Quantity Received (All Receipts),Expected Arrival Product Line Complete,Product First UPC Code,Product Origin System,Expected Arrival Date / Time Last Modified,Expected Arrival Our Purchase Order
CS8840A1033/B,WATERHEATER PILOT,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,2304,2304.0,1,085267343367,CUS529,08/12/2025 07:50:43,10980394
CS8840B1109/B,WATER HEATER PILOT,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,1152,1152.0,1,085267506427,CUS529,08/12/2025 07:50:43,10980394
CS8840B1117/B,WATER HEATER PILOT,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,2304,2304.0,1,085267590471,CUS529,08/12/2025 07:50:43,10980394
CS8840B1127/B,PILOT HARDWARE FOR WATER HEATER,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,1152,1152.0,1,085267708685,CUS529,08/12/2025 07:50:43,10980394
CS8840B5100/B,WATER HEATER PILOT,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,384,384.0,1,085267549301,CUS529,08/12/2025 07:50:43,10980394
CS8840B5118/B,WATER HEATER PILOT,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,1152,1152.0,1,085267624008,CUS529,08/12/2025 07:50:43,10980394
CS8840C1710/B,RHEEM VESTA PILOT,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,2304,2304.0,1,085267722537,CUS529,08/12/2025 07:50:43,10980394
CS8840C1736/B,RHEEM VESTA PILOT,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,2304,2304.0,1,085267727945,CUS529,08/12/2025 07:50:43,10980394
CS8860A1264/B,WATER HEATER PILOT,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,720,720.0,1,085267535342,CUS529,08/12/2025 07:50:43,10980394
IS20473-6285/B,PRESSURE SWITCH,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,400,400.0,1,194159003859,CUS529,08/12/2025 07:50:43,10980394
Q314A6649/B,TARGET PLT BRNR,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,300,300.0,1,085267066945,CUS529,08/12/2025 07:50:43,10980394
Q3451J1410/B,PILOT BURNER   395330,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,800,800.0,1,085267796021,CUS529,08/12/2025 07:50:43,10980394
SV9501M2700/B,"1/2X1/2,3.5 WC.NATURALGAS,BULKP",CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,100,100.0,1,085267787499,CUS529,08/12/2025 07:50:43,10980394
SV9601M4167/B,"3/4X3/4,3.5 WCREGSET,BULKBACK.",CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,20,20.0,1,085267787871,CUS529,08/12/2025 07:50:43,10980394
VR8204C3015/B,CGC INT PLT STEP OPN,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,60,60.0,1,085267112970,CUS529,08/12/2025 07:50:43,10980394
VR8204C6018/B,CGC INT PLT STEP OPN,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,80,80.0,1,085267786683,CUS529,08/12/2025 07:50:43,10980394
VR8204H1147/B,DUAL VALVE GAS CONTROL,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,240,240.0,1,085267168878,CUS529,08/12/2025 07:50:43,10980394
VR8204M8046/B,"VR8204M 1SG GAS VALVE, 3.5  WC 1/2X1/2,",CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,240,240.0,1,085267689472,CUS529,08/12/2025 07:50:43,10980394
VR8204M8053/B,"VR8204M 1SG GAS VALVE, 3.5  WC 1/2 ELB X",CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,160,160.0,1,194159013551,CUS529,08/12/2025 07:50:43,10980394
VR8204Q2418/B,DUAL VALVE 1/2 X 1/2 2-STAGE,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,50,50.0,1,085267792516,CUS529,08/12/2025 07:50:43,10980394
VR8205M2948/B,DUAL VALVE GAS CONTROL,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,400,400.0,1,085267794619,CUS529,08/12/2025 07:50:43,10980394
VR8215S1289/B,GAS VALVE,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,900,900.0,1,085267187497,CUS529,08/12/2025 07:50:43,10980394
VR8303M4863/B,DL VLV GAS CONTROL (395050-10),CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,60,60.0,1,085267790024,CUS529,08/12/2025 07:50:43,10980394
VR8304M2188/B,CGC 395050-2 1/2 X 1/2 3 5 WC,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,200,200.0,1,085267793902,CUS529,08/12/2025 07:50:43,10980394
VR8304P4256/B,CGC DV INT PLT,CUS529,,Resideo,08/12/2025 07:50:41,08/13/2025 00:00:00,,,,,400,400.0,1,085267311960,CUS529,08/12/2025 07:50:43,10980394
