Order ID,Pick Slip ID,Product ID,Product Description,Date/Time Returned,Return Line Qty Returned,Return Line Disposition
#142948,328764,FM-ROSA-3637,ROSA-SLIDES-3637,03/05/2025 11:19:00,1,Return to Stock
#142891,328015,FM-ROSA-3637,ROSA-SLIDES-3637,03/12/2025 09:58:00,1,Return to Stock
#144686,336409,FM-ROSA-3637,ROSA-SLIDES-3637,05/13/2025 10:35:00,1,Return to Stock
#144121,334389,FM-ROSA-3738,ROSA-SLIDES-3738,05/01/2025 12:14:00,1,Return to Stock
#142740,323031,FM-ROSA-3839,ROSA-SLIDES-3839,03/05/2025 11:23:00,1,Return to Stock
#143022,329042,FM-LUCY-3839,LUCY-SLIDES-3839,03/26/2025 10:47:00,1,Return to Stock
#143058,329499,FM-LUCY-3839,LUCY-SLIDES-3839,04/16/2025 15:16:00,1,Return to Stock
#141790,287901,FM-LUCY-3031,LUCY-SLIDES-3031,12/30/2024 15:39:00,1,Return to Stock
#143037,329244,FM-GLOW-3738,GLOW-SLIDES-3738,04/03/2025 15:46:00,1,Return to Stock
#143135,329988,FM-GLOW-3738,GLOW-SLIDES-3738,04/11/2025 10:36:00,1,Return to Stock
#143239,330576,FM-GLOW-3839,GLOW-SLIDES-3839,04/02/2025 14:33:00,1,Return to Stock
#142120,290315,FM-GLOW-3940,GLOW-SLIDES-3940,02/21/2025 11:28:00,1,Return to Stock
#144311,335158,FM-GLOW-4142,GLOW-SLIDES-4142,05/01/2025 12:26:00,1,Return to Stock
#143239,330576,FM-GLOW-2425,GLOW-SLIDES-2425,04/02/2025 14:33:00,1,Return to Stock
#143145,330052,FM-GLOW-3031,GLOW-SLIDES-3031,03/25/2025 10:07:00,1,Return to Stock
#144440,335497,FM-GLOW-3233,GLOW-SLIDES-3233,05/13/2025 11:40:00,1,Return to Stock
#144792,336820,FM-ALICE-3839,ALICE-SLIDES-3839,05/13/2025 12:12:00,1,Return to Stock
#142930,328559,FM-WILDSNDS-3435,WILDCAT-SANDS-SLIDES-3435,03/07/2025 10:32:00,1,Return to Stock
#143758,332864,FM-WILDSNDS-3536,WILDCAT-SANDS-SLIDES-3536,04/16/2025 15:23:00,1,Return to Stock
#144938,337313,FM-WILDSNDS-3637,WILDCAT-SANDS-SLIDES-3637,05/13/2025 11:10:00,1,Return to Stock
#142927,328561,FM-WILDSNDS-3738,WILDCAT-SANDS-SLIDES-3738,03/12/2025 09:56:00,1,Return to Stock
#141602,286670,FM-WILDSNDS-3738,WILDCAT-SANDS-SLIDES-3738,03/12/2025 15:22:00,1,Return to Stock
#143135,329988,FM-WILDSNDS-3738,WILDCAT-SANDS-SLIDES-3738,04/11/2025 10:36:00,1,Return to Stock
#142411,306692,FM-LEOCAM-3738,LEO-CAMEL-SLIDES-3738,01/10/2025 14:50:00,1,Return to Stock
#141761,287924,FM-LEOCAM-3839,LEO-CAMEL-SLIDES-3839,12/30/2024 15:35:00,1,Return to Stock
#143479,331727,FM-LEOCAM-3839,LEO-CAMEL-SLIDES-3839,04/08/2025 15:19:00,1,Return to Stock
#143275,330803,FM-LEOCAM-3940,LEO-CAMEL-SLIDES-3940,04/03/2025 15:58:00,1,Return to Stock
#143516,331941,FM-LEOCAM-4041,LEO-CAMEL-SLIDES-4041,05/13/2025 12:19:00,1,Return to Stock
#141558,285834,FM-LEOCAM-3031,LEO-CAMEL-SLIDES-3031,12/10/2024 11:13:00,1,Return to Stock
#142930,328559,FM-LEOCAM-3031,LEO-CAMEL-SLIDES-3031,03/07/2025 10:32:00,1,Return to Stock
#142556,307720,FM-LEOCAM-3233,LEO-CAMEL-SLIDES-3233,02/13/2025 11:06:00,1,Return to Stock
#143704,332620,FM-ISLA-3536,ISLA-SLIDES-3536,04/25/2025 11:10:00,1,Return to Stock
#143977,333828,FM-ISLA-3637,ISLA-SLIDES-3637,04/23/2025 10:59:00,1,Return to Stock
#142831,327269,FM-ISLA-3738,ISLA-SLIDES-3738,02/26/2025 10:38:00,1,Return to Stock
#142352,306402,FM-ISLA-3839,ISLA-SLIDES-3839,02/18/2025 14:59:00,1,Return to Stock
#142740,323031,FM-ISLA-3839,ISLA-SLIDES-3839,03/05/2025 11:23:00,1,Return to Stock
#144037,333886,FM-CAC-3738,CACTUS-SLIDES-3738,04/16/2025 15:18:00,1,Return to Stock
#142445,306800,FM-CAC-3940,CACTUS-SLIDES-3940,01/23/2025 15:42:00,1,Return to Stock
#142228,301981,FM-CAC-4041,CACTUS-SLIDES-4041,01/10/2025 09:30:00,1,Return to Stock
#143092,329534,FM-CAC-4243,CACTUS-SLIDES-4243,03/12/2025 09:54:00,1,Return to Stock
#143494,331718,FM-CAC-4344,CACTUS-SLIDES-4344,04/11/2025 11:22:00,1,Return to Stock
#143058,329499,FM-CAC-4344,CACTUS-SLIDES-4344,04/16/2025 15:16:00,1,Return to Stock
#144562,336055,FM-CAC-3031,CACTUS-SLIDES-3031,05/13/2025 10:57:00,1,Return to Stock
