Product ID,Product Description,Product Owner ID,Version,Product Owner Name,Expected Arrival Date / Time Entered,Anticipated Arrival Date & Time,Expected Arrival Client Purchase Order,Expected Arrival Shipped From,Expected Arrival Shipping Method,Expected Arrival Comments,Initial Expected Quantity,Total Expected Quantity Received (All Receipts),Expected Arrival Product Line Complete,Product First UPC Code,Product Origin System,Expected Arrival Date / Time Last Modified,Expected Arrival Our Purchase Order
386449-4/B,COMPRESSION FITTING,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,1000,1000,1,085267027847,CUS529,08/13/2025 07:21:04,10981142
394590/B,PLUG CONNECTOR FOR DEVELOPING A WIRING,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,4000,4000,1,085267030380,CUS529,08/13/2025 07:21:04,10981142
394800-30/U,IGNITION CABLE,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,300,300,1,085267030458,CUS529,08/13/2025 07:21:04,10981142
394800-30D/U,IGNITION CABLE ASSY,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,300,300,1,085267306201,CUS529,08/13/2025 07:21:04,10981142
396066/B,BULK PACK NIPPLE ASSY,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,1000,1000,1,,CUS529,08/13/2025 07:21:04,10981142
396221-1/U,ENV ASSY (LP),CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,600,600,1,,CUS529,08/13/2025 07:21:04,10981142
396221-2/U,ENV ASSY (LP),CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,100,100,1,,CUS529,08/13/2025 07:21:04,10981142
396221-3/U,CONVERSION KIT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,1400,1400,1,085267063227,CUS529,08/13/2025 07:21:04,10981142
50013231-202/B,SENSOR,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,540,540,1,085267815963,CUS529,08/13/2025 07:21:04,10981142
50033841-003/U,CONVERSION KIT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,200,200,1,085267916271,CUS529,08/13/2025 07:21:04,10981142
CS8840A1033/B,WATERHEATER PILOT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,1152,1152,1,085267343367,CUS529,08/13/2025 07:21:04,10981142
CS8840A1082/B,WATERHEATER PILOT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,768,768,1,085267461252,CUS529,08/13/2025 07:21:04,10981142
CS8840B1117/B,WATER HEATER PILOT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,5760,5760,1,085267590471,CUS529,08/13/2025 07:21:04,10981142
CS8840C1710/B,RHEEM VESTA PILOT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,1152,1152,1,085267722537,CUS529,08/13/2025 07:21:04,10981142
CS8840C1736/B,RHEEM VESTA PILOT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,2304,2304,1,085267727945,CUS529,08/13/2025 07:21:04,10981142
CS8840C1751/B,RHEEM VESTA PILOT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,1152,1152,1,085267740739,CUS529,08/13/2025 07:21:04,10981142
CS8860A1264/B,WATER HEATER PILOT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,720,720,1,085267535342,CUS529,08/13/2025 07:21:04,10981142
CS8860A1298/B,WATER HEATER PILOT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,720,720,1,085267607957,CUS529,08/13/2025 07:21:04,10981142
IS20455-6186/B,PRESSURE SWITCH,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,300,300,1,085267644426,CUS529,08/13/2025 07:21:04,10981142
IS20473-6285/B,PRESSURE SWITCH,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,1400,1400,1,194159003859,CUS529,08/13/2025 07:21:04,10981142
Q314A6649/B,TARGET PLT BRNR,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,200,200,1,085267066945,CUS529,08/13/2025 07:21:04,10981142
Q314A6664/B,TARGET PLT BRNR EO 01-W037,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,400,400,1,085267066969,CUS529,08/13/2025 07:21:04,10981142
Q3451J1410/B,PILOT BURNER   395330,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,800,800,1,085267796021,CUS529,08/13/2025 07:21:04,10981142
Q3451J5000/B,BRADFORD WHITE POWER VENT LP PILOT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,800,800,1,194159013315,CUS529,08/13/2025 07:21:04,10981142
Q390A1202/B,THERMOCOUPLE 24 INCH,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,600,600,1,085267653671,CUS529,08/13/2025 07:21:04,10981142
R8222U1063/B,GEN PURP RELAY,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,300,300,1,085267079709,CUS529,08/13/2025 07:21:04,10981142
VR8204Q2418/B,DUAL VALVE 1/2 X 1/2 2-STAGE,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,10,10,1,085267792516,CUS529,08/13/2025 07:21:04,10981142
VR8205A2065/B,"1/2X1/2,REG.SETAT5.0 W.C.BULKP",CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,300,300,1,085267113298,CUS529,08/13/2025 07:21:04,10981142
VR8205M8812/B,CGC 24 VLT DSI,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,60,60,1,085267784320,CUS529,08/13/2025 07:21:04,10981142
VR8205M8862/B,VR8205M 1SG AG GAS VALVE,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,500,500,1,085267478915,CUS529,08/13/2025 07:21:04,10981142
VR8205Q2746/B,DUAL VALVE GAS CONTROL,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,60,60,1,085267794084,CUS529,08/13/2025 07:21:04,10981142
VR8215S1289/B,GAS VALVE,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,1980,1980,1,085267187497,CUS529,08/13/2025 07:21:04,10981142
VR8304K4822/B,CGC DL VL INT PLT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,200,200,1,085267114455,CUS529,08/13/2025 07:21:04,10981142
VR8304M3129/B,CGC DL VL 24V -40 FL,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,180,180,1,085267114547,CUS529,08/13/2025 07:21:04,10981142
VR8304M3194/B,CGC DL VL INT PLT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,160,160,1,085267137768,CUS529,08/13/2025 07:21:04,10981142
VR8304P4256/B,CGC DV INT PLT,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,400,400,1,085267311960,CUS529,08/13/2025 07:21:04,10981142
VR8305M2102/B,1/2X1/2  3.5  WC FULL BULK PACK,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,60,60,1,085267114950,CUS529,08/13/2025 07:21:04,10981142
VR8305M4009/B,COMBINATION GAS CONTROL,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,120,120,1,085267115001,CUS529,08/13/2025 07:21:04,10981142
VR9205Q1006/B,AMERICAN VK 2-STAGE,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,360,360,1,085267308243,CUS529,08/13/2025 07:21:04,10981142
WV4462A5066/P,WATER HEATER VALVE,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,250,250,1,085267366236,CUS529,08/13/2025 07:21:04,10981142
WV8840B1158/P,AOSMITH VESTA VALVE,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,1500,1500,1,085267048637,CUS529,08/13/2025 07:21:04,10981142
WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE",CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,2700,2700,1,70085267969375,CUS529,08/13/2025 07:21:04,10981142
WV8860A1016/P,VESTA 2.0 WATER HEATER GAS VALVE,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,900,900,1,085267682022,CUS529,08/13/2025 07:21:04,10981142
WV8860B1362/P,AOS ULN VALVE,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,300,300,1,194159008083,CUS529,08/13/2025 07:21:04,10981142
WV8860B1364/P,AOS ULN VALVE,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,300,300,1,194159008090,CUS529,08/13/2025 07:21:04,10981142
WV8860B1366/P,AOS ULN VALVE,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,300,300,1,194159008106,CUS529,08/13/2025 07:21:04,10981142
GFS3418A-4058/B,GAS PRESSURE SWITCH,CUS529,,Resideo,08/13/2025 07:20:59,08/14/2025 00:00:00,,,,,700,700,1,194159019232,CUS529,08/13/2025 07:21:04,10981142
